Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|Field=Manufacturer Part Number~String~Manufacturer Part Number~100|Field=P/N~String~P/N~100|Field=Supplier Part Number~String~Supplier Part Number~100|Field=Library Name~String~Library Name~100|Field=Library Reference~String~Library Reference~100|Field=Manufacturer~String~Manufacturer~100|Field=Manufacturer 1~String~Manufacturer 1~100|Field=Manufacturer 2~String~Manufacturer 2~100|Field=Manufacturer 3~String~Manufacturer 3~100|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~100|Field=Manufacturer Part Number 2~String~Manufacturer Part Number 2~100|Field=Manufacturer Part Number 3~String~Manufacturer Part Number 3~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier 2~String~Supplier 2~100|Field=Supplier 3~String~Supplier 3~100|Field=Supplier Currency 1~String~Supplier Currency 1~100|Field=Supplier Currency 2~String~Supplier Currency 2~100|Field=Supplier Currency 3~String~Supplier Currency 3~100|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~100|Field=Supplier Order Qty 2~Integer~Supplier Order Qty 2~100|Field=Supplier Order Qty 3~Integer~Supplier Order Qty 3~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|Field=Supplier Part Number 2~String~Supplier Part Number 2~100|Field=Supplier Part Number 3~String~Supplier Part Number 3~100|Field=Supplier Stock 1~Integer~Supplier Stock 1~100|Field=Supplier Stock 2~Integer~Supplier Stock 2~100|Field=Supplier Stock 3~Integer~Supplier Stock 3~100|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~100|Field=Supplier Subtotal 2~Float~Supplier Subtotal 2~100|Field=Supplier Subtotal 3~Float~Supplier Subtotal 3~100|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~100|Field=Supplier Unit Price 2~Float~Supplier Unit Price 2~100|Field=Supplier Unit Price 3~Float~Supplier Unit Price 3~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Cape.PrjPcb|ReportField=ProjectFullPath~C:\Users\user\Documents\RocketLogger\rocketlogger\hardware\pcb\Cape\Cape.PrjPcb|ReportField=Title~Bill of Materials For Project [Cape.PrjPcb] (PCB Document : PCB.PcbDoc)|ReportField=TotalQuantity~371|ReportField=ReportTime~17:03:20|ReportField=ReportDate~08.05.2017|ReportField=ReportDateTime~08.05.2017 17:03:20|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=ProjectName~RocketLogger|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~08.05.2017|ReportField=CurrentTime~16:51:11|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\user\Documents\RocketLogger\rocketlogger\hardware\pcb\Cape\top.SchDoc|ReportField=DocumentName~top.SchDoc|ReportField=DocumentNumber~1|ReportField=DrawnBy~Stefan Lippuner|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~18.04.2017|ReportField=Organization~TIK|ReportField=Revision~2|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~8|ReportField=Time~|ReportField=Title~Top|ReportField=VersionControl_RevNumber~|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=True:CenterVertical=True:PrintScale=1.00:XCorrection=1.00:YCorrection=1.00:PrintKind=1:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=2:PaperLength=1000:PaperWidth=1000:Scale=100:PaperSource=7:PrintQuality=-3:MediaType=1:DitherType=10:PrintScaleMode=1:PaperKind=A3:PaperIndex=8|ReportField=DataSourceFileName~Cape.PrjPcb|ReportField=DataSourceFullPath~C:\Users\user\Documents\RocketLogger\rocketlogger\hardware\pcb\Cape\Cape.PrjPcb|ReportField=PCBDataSourceFileName~PCB.PcbDoc|ReportField=PCBDataSourceFullPath~C:\Users\user\Documents\RocketLogger\rocketlogger\hardware\pcb\Cape\PCB.PcbDoc
33|27K|27K 0.063W 1% 0402 (1005 Metric)  SMD|R415|RESC0402(1005)_L|CMP-1011-00670-1|1||||Altium Content Vault|CMP-1011-00670-1||Vishay|Yageo|Vishay|CRCW040227K0FKED|RC0402FR-0727KL|CRCW040227K0FKED|Newark|Newark|Newark||||1|1|1|24W2143|26M6785|26W9052|200000|20550|15350||||||
34|24K9|24K9 0.063W 1% 0402 (1005 Metric)  SMD|R406, R414|RESC0402(1005)_L|CMP-1011-00666-1|2||||Altium Content Vault|CMP-1011-00666-1||Vishay|Yageo|Vishay|CRCW040224K9FKTD|RC0402FR-0724K9L|CRCW040224K9FKED|Newark|Newark|Newark||||2|2|2|07J7682|18X9889|24W2121|0|0|10000|0|||0.00||
35|20K5|20K5 0.063W 1% 0402 (1005 Metric)  SMD|R402|RESC0402(1005)_L|CMP-1011-00656-1|1||||Altium Content Vault|CMP-1011-00656-1||Vishay|Vishay|Vishay|CRCW040220K5FKTD|CRCW040220K5FKED|CRCW040220K5FKED|Newark|Newark|Newark||||1|1|1|07J7642|24W2084|26W9031|0|10000|14550||||||
36|12K4|12K4 0.063W 1% 0402 (1005 Metric)  SMD|R310_1, R310_2|RESC0402(1005)_L|CMP-1011-00633-1|2||||Altium Content Vault|CMP-1011-00633-1||Vishay|Vishay|Vishay|CRCW040212K4FKTD|CRCW040212K4FKED|CRCW040212K4FKED|Newark|Newark|Newark||||2|2|2|07J7543|27W3865|52K6648|0|6603|3135||0.02|0||0.01|0.00
37|11K5|11K5 0.063W 1% 0402 (1005 Metric)  SMD|R311_1, R311_2|RESC0402(1005)_L|CMP-1011-00629-1|2||||Altium Content Vault|CMP-1011-00629-1||Vishay|Vishay|Vishay|CRCW040211K5FKED|CRCW040211K5FKTD|CRCW040211K5FKED|Newark|Newark|Newark||||2|2|2|26W8979|36C8914|42K3392|14988|0|10000||||||
38|10K2|10K2 0.063W 1% 0402 (1005 Metric)  SMD|R411|RESC0402(1005)_L|CMP-1011-00624-1|1||||Altium Content Vault|CMP-1011-00624-1||Vishay|Vishay|Vishay|CRCW040210K2FKTD|CRCW040210K2FKED|CRCW040210K2FKED|Newark|Newark|Newark||||1|1|1|07J7503|24W1915|26W8973|0|0|18550||0|||0.00|
39|10K|10K 0.063W 1% 0402 (1005 Metric)  SMD|R114_1, R114_2, R115_1, R115_2, R116_1, R116_2, R303_1, R303_2, R304_1, R304_2, R313_1, R313_2, R318_1, R318_2, R319_1, R319_2, R404, R407, R409, R410, R500_1, R500_2, R501_1, R501_2, R502_1, R502_2, R503_1, R503_2, R604_1, R604_2, R604_3, R605_1, R605_2, R605_3|RESC0402(1005)_L|CMP-1011-00623-1|34||||Altium Content Vault|CMP-1011-00623-1||Vishay|Vishay|Vishay|CRCW040210K0FKTD|CRCW040210K0FKED|CRCW040210K0FKED|Newark|Newark|Newark||||34|34|34|07J7498|19K7996|24W1914|0|680000|50000||||||
40|4K7|4K7 0.063W 1% 0402 (1005 Metric)  SMD|R100_1, R100_2, R101_1, R101_2, R103_1, R103_2, R104_1, R104_2, R105_1, R105_2, R106_1, R106_2, R107_1, R107_2, R108_1, R108_2, R110_1, R110_2, R111_1, R111_2, R112_1, R112_2, R113_1, R113_2|RESC0402(1005)_L|CMP-1011-00586-1|24||||Altium Content Vault|CMP-1011-00586-1||Vishay|Vishay|Vishay|CRCW04024K70FKTD|CRCW04024K70FKED|CRCW04024K70FKED|Newark|Newark|Newark||||24|24|24|09J3779|24W2267|42K3486|0|40000|290000|0|||0.00||
41|3K9|3K9 0.063W 1% 0402 (1005 Metric)  SMD|R408|RESC0402(1005)_L|CMP-1011-00576-1|1||||Altium Content Vault|CMP-1011-00576-1||Vishay|Yageo|Vishay|CRCW04023K90FKED|RC0402FR-073K9L|CRCW04023K90FKED|Newark|Newark|Newark||||1|1|1|24W2177|26M6787|26W9071|240000|4832|8597||||||
42|1K|1K 0.063W 1% 0402 (1005 Metric)  SMD|R200, R206, R314_1, R314_2, R416|RESC0402(1005)_L|CMP-1011-00510-1|5||||Altium Content Vault|CMP-1011-00510-1||Vishay|Vishay|Vishay|CRCW04021K00FKTD|CRCW04021K00FKTD|CRCW04021K00FKED|Newark|Newark|Newark||||5|5|5|01C8605|07J7497|19K7992|2092|0|730000|0.05|||0.01||
43|100R|100R 0.063W 1% 0402 (1005 Metric)  SMD|R400|RESC0402(1005)_L|CMP-1011-00397-1|1||||Altium Content Vault|CMP-1011-00397-1||Vishay|Vishay|Vishay|CRCW0402100RFKTD|CRCW0402100RFKTD|CRCW0402100RFKED|Newark|Newark|Newark||||1|1|1|07J7496|17C7358|24W1924|0|0|170000||||||
44|75R|75R 0.063W 1% 0402 (1005 Metric)  SMD|R307_1, R307_2|RESC0402(1005)_L|CMP-1011-00383-1|2||||Altium Content Vault|CMP-1011-00383-1||Vishay|Vishay|Vishay|CRCW040275R0FKTD|CRCW040275R0FKED|CRCW040275R0FKTD|Newark|Newark|Newark||||2|2|2|07J7911|24W2458|36C9000|0|90000|0|0|||0.00||
45|15R|15R 0.063W 1% 0402 (1005 Metric)  SMD|R321_1, R321_2, R322_1, R322_2|RESC0402(1005)_L|CMP-1011-00302-1|4||||Altium Content Vault|CMP-1011-00302-1||Vishay|Vishay|Yageo|CRCW040215R0FKTD|CRCW040215R0FKED|RC0402FR-0715RL|Newark|Newark|Newark||||4|4|4|07J7579|24W1990|26M6782|0|310000|0||||||
46|200K|200K 0.063W 5% 0402 (1005 Metric)  SMD|R702, R703|RESC0402(1005)_L|CMP-1011-00129-1|2||||Altium Content Vault|CMP-1011-00129-1||Vishay|Vishay|Panasonic|CRCW0402200KJNED|CRCW0402200KJNTD|ERJ-2GEJ204X|Newark|Newark|Newark||||2|2|2|43C3657|48P7617|65T8264|0|0|73798|||0.16|||0.08
47|5K6|5K6 0.063W 5% 0402 (1005 Metric)  SMD|R201, R202|RESC0402(1005)_L|CMP-1011-00092-1|2||||Altium Content Vault|CMP-1011-00092-1||Vishay|Vishay|Panasonic|CRCW04025K60JNED|CRCW04025K60JNTD|ERJ-2GEJ562X|Newark|Newark|Newark||||2|2|2|19K8687|43C3873|51W8736|0|0|0||||||
48|820R|820R 0.063W 5% 0402 (1005 Metric)  SMD|R208|RESC0402(1005)_L|CMP-1011-00072-1|1||||Altium Content Vault|CMP-1011-00072-1||Vishay|Vishay|Panasonic|CRCW0402820RJNED|CRCW0402820RJNTD|ERJ-2GEJ821X|Newark|Newark|Newark||||1|1|1|43C4000|48P7878|51W8755|0|0|0|0|||0.00||
49|330R|330R 0.063W 5% 0402 (1005 Metric)  SMD|R207|RESC0402(1005)_L|CMP-1011-00062-1|1||||Altium Content Vault|CMP-1011-00062-1||Vishay|Yageo|Vishay|CRCW0402330RJNED|RC0402JR-07330RL|CRCW0402330RJNTD|Newark|Newark|Newark||||1|1|1|19K8698|26M6768|43C3773|0|2800|0||||||
50|12R|12R 0.063W 1% 0402 (1005 Metric)  SMD|R308_1, R308_2|RESC0402(1005)_L|CMP-1011-00001-1|2|||||CMP-1011-00001-1||Yageo|||RC0402FR-0712RL|||Digi-Key|||USD|||2|||YAG2968DKR-ND|||98700|||0.2|||0.10||
51|SN74AUP2G32DCUR|Low-Power Dual 2-Input Positive-OR Gate, DCU0008A, LARGE T&R|U701|DCU0008A_L|CMP-0859-00721-3|1||||Altium Content Vault|CMP-0859-00721-3|Texas Instruments|Burr-Brown|||SN74AUP2G32DCUR|||||||||1||||||0|||0|||0.00||
52|SN74LVC2G14DCKR|Dual Schmitt-Trigger Inverter, DCK0006A, LARGE T&R|U306_1, U306_2|DCK0006A_L|CMP-0859-00454-3|2||||Altium Content Vault|CMP-0859-00454-3|Texas Instruments|Burr-Brown|Burr-Brown|Burr-Brown|SN74LVC2G14DCKR|SN74LVC2G14DCKR|SN74LVC2G14DCKR|Newark|Newark|Mouser||||2|2|2|28X3890|76C4204|595-SN74LVC2G14DCKR|0|13668|7853||0.4|1.7||0.20|0.85
53|SN74AHCT1G00DCKR|Single 2-Input Positive-NAND Gate, DCK0005A, LARGE T&R|U307_1, U307_2|DCK0005A_L|CMP-0859-00300-3|2||||Altium Content Vault|CMP-0859-00300-3|Texas Instruments|Burr-Brown|||SN74AHCT1G00DCKR|||||||||2||||||0|||0|||0.00||
54|LP2985-25DBVR|Single Output Low Noise LDO, 150 mA, Fixed 2.5 V Output, 1.5% Tolerance, 2.2 to 16 V Input, Low IQ, 5-Pin SOT-23 (DBV), -40 to 125 degC, Green (RoHS & no Sb/Br), Tape and Reel|U405|DBV0005A_L|CMP-0758-00027-2|1||||Altium Content Vault|CMP-0758-00027-2|Texas Instruments|Burr-Brown|Burr-Brown|Burr-Brown|LP2985-25DBVR|LP2985-25DBVR|LP2985-25DBVR|Newark|Mouser|Digi-Key||||1|1|1|14M2037|595-LP2985-25DBVR|296-32149-1-ND|0|0|2545||0.6|0.62||0.60|0.62
55|CD4503BPW|CMOS Hex Non-Inverting Buffer with 3-State Outputs, PW0016A, TUBE|U201|PW0016A_L|CMP-0440-01132-3|1||||Altium Content Vault|CMP-0440-01132-3|Texas Instruments|Burr-Brown|||CD4503BPW|||||||||1||||||0|||0|||0.00||
56|TPS72325DBVTG4|Single Output High PSRR LDO, 200 mA, Fixed -2.5 V Output, -10 to -2.7 V Input, 5-pin SOT-23 (DBV), -40 to 125 degC, Green (RoHS & no Sb/Br)|U408|TI-DBV5_L|CMP-0394-00283-1|1||||Altium Content Vault|CMP-0394-00283-1|Texas Instruments|Burr-Brown|Burr-Brown|Burr-Brown|TPS72325DBVTG4|TPS72325DBVTG4|TPS72325DBVTG4|Newark|Mouser|Digi-Key||||1|1|1|54K1783|595-TPS72325DBVTG4|TPS72325DBVTG4-ND|0|799|0||||||
57|SI2323DS-T1-GE3|MOSFET P-CH 20V 3.7A SOT23-3|Q400|SOT-23-TT3_N|CMP-00292-1|1|SI2323DS-T1-GE3||SI2323DS-T1-GE3CT-ND|ETHZ Vault|CMP-00292-1|Vishay Siliconix|Unsupported client version. New PartCatalog supported starting from version 17.0||||||||||||1||||||0|||0|||0.00||
58|BMI-S-208-C|Board Mount EMI Enclosures RF Absorber CRS Tin SMD|M1||CMP-00232-1|1|||Mouser - 739-BMI-S-208-C|ETHZ Vault|CMP-00232-1|Laird|Unsupported client version. New PartCatalog supported starting from version 17.0||||||||||||1||||||0|||0|||0.00||
59|CON-SMA-EDGE-S|SMA FEMALE PCB EDGE MOUNT|J300_1, J300_2, J500_1, J500_2, J501_1, J501_2|132322|CMP-00231-1|6|CON-SMA-EDGE-S||CON-SMA-EDGE-S-ND|ETHZ Vault|CMP-00231-1|RF Solutions|Unsupported client version. New PartCatalog supported starting from version 17.0||||||||||||6||||||0|||0|||0.00||
60|KMR231NG LFS|SWITCH TACTILE SPST-NO 0.05A 32V|SW201|KRM 2 Series|CMP-00230-1|1|KMR231NG LFS||CKN10246CT-ND|ETHZ Vault|CMP-00230-1|C&K Components|Unsupported client version. New PartCatalog supported starting from version 17.0||||||||||||1||||||0|||0|||0.00||
61|1.5uH|FIXED IND 1.5UH 50MA 700 MOHM|L300_1, L300_2, L403, L404, L405, L406, L407, L408|INDC0603(1608)_L|CMP-00229-1|8|MLF1608A1R5M||445-6221-1-ND|ETHZ Vault|CMP-00229-1|TDK Corporation|Unsupported client version. New PartCatalog supported starting from version 17.0||||||||||||8||||||0|||0|||0.00||
62|ACH32C-470-T001|LC (T-Type) EMI Filter 3rd Order Low Pass 1 Channel C = 47pF 6A 1206 (3216 Metric), 3 PC Pad|U300_1, U300_2|ACH32C|CMP-00228-1|2|ACH32C-470-T001||445-2991-2-ND|ETHZ Vault|CMP-00228-1|TDK Corporation|Unsupported client version. New PartCatalog supported starting from version 17.0||||||||||||2||||||0|||0|||0.00||
63|43WR500KLFTR|TRIMMER 500K OHM 0.125W SMD|R401|43W|CMP-00227-2|1|43WR500KLFTR||987-1040-6-ND|ETHZ Vault|CMP-00227-2|TT Electronics/BI|Unsupported client version. New PartCatalog supported starting from version 17.0||||||||||||1||||||0|||0|||0.00||
64|AP2204RA-5.0TRG1|IC REG LDO Linear Voltage Regulator Positive Fixed 1 Output 5V 150mA SOT-89-3|U406|SOT89_L|CMP-00226-1|1|AP2204RA-5.0TRG1||AP2204RA-5.0TRG1DICT-ND|ETHZ Vault|CMP-00226-1|Diodes Incorporated|Unsupported client version. New PartCatalog supported starting from version 17.0||||||||||||1||||||0|||0|||0.00||
65|CD4043BPWR|IC NOR R/S LTCH 3ST QUAD 16TSSOP|U700|TSSOP-16_L|CMP-00223-2|1|CD4043BPWR||296-14106-2-ND|ETHZ Vault|CMP-00223-2|Texas Instruments|Unsupported client version. New PartCatalog supported starting from version 17.0||||||||||||1||||||0|||0|||0.00||
66|CSD17527Q5A|MOSFET N-CH 30V 65A 8SON|Q300_1, Q300_2|PowerPAK_SO-8_V|CMP-00221-1|2|CSD17527Q5A||296-29021-1-ND|ETHZ Vault|CMP-00221-1|Texas Instruments|Unsupported client version. New PartCatalog supported starting from version 17.0||||||||||||2||||||0|||0|||0.00||
67|MIC5270-5.0YM5-TR|IC REG LDO Linear Voltage Regulator Negative Fixed 1 Output -5V 100mA SOT-23-5|U407|Z5+1_L|CMP-00219-1|1|MIC5270-5.0YM5-TR||576-1294-1-ND|ETHZ Vault|CMP-00219-1|Microchip Technology|Unsupported client version. New PartCatalog supported starting from version 17.0||||||||||||1||||||0|||0|||0.00||
68|218-2LPST|Switch DIP ON OFF SPST 2 Recessed Slide 0.025A 24VDC Gull Wing 1.27mm SMD|SW200|416131160802|CMP-00125-1|1|218-2LPST||CT2182LPST-ND|ETHZ Vault|CMP-00125-1|CTS Electrocomponents|Unsupported client version. New PartCatalog supported starting from version 17.0||||||||||||1||||||0|||0|||0.00||
69|BMI-S-208-F|EMI Connector Gaskets & Grounding Pads BLS,2PSH,FRM,SnSat .276x1.559x1.559in|S1|BMI-S-208-F|CMP-00123-4|1|BMI-S-208-F||BMI-S-208-F-ND|ETHZ Vault|CMP-00123-4|Laird Technologies EMI|Unsupported client version. New PartCatalog supported starting from version 17.0||||||||||||1||||||0|||0|||0.00||
70|AD8421ARMZ|Instrument Amplifier, 1, 60 V, 35 V/ s, 10 MHz, 5V to 36V, MSOP|U304_1, U304_2|ADI-RM-8_L|CMP-00122-1|2||AD8421ARMZ|AD8421ARMZ-ND|ETHZ Vault|CMP-00122-1|Analog Devices Inc.|Unsupported client version. New PartCatalog supported starting from version 17.0||||||||||||2||||||0|||0|||0.00||
71|43WR10KLFTR|TRIMMER 10K OHM 0.125W SMD|R317_1, R317_2|43W|CMP-00121-2|2||43WR10KLFTR|987-1030-2-ND|ETHZ Vault|CMP-00121-2|TT Electronics/BI|Unsupported client version. New PartCatalog supported starting from version 17.0||||||||||||2||||||0|||0|||0.00||
72|SD103CWS-7-F|DIODE SCHOTTKY 20V 350MA SOD323|D400, D401|DIOD-SOD323-2_V|CMP-00120-1|2||SD103CWS-7-F|SD103CWS-FDITR-ND|ETHZ Vault|CMP-00120-1|Diodes Incorporated|Unsupported client version. New PartCatalog supported starting from version 17.0||||||||||||2||||||0|||0|||0.00||
73|4.7uH|FIXED IND 4.7UH 1A 110 MOHM SMD|L400, L401, L402|INDC2520X10L|CMP-00119-1|3||MLP2520S4R7ST0S1|445-6378-2-ND|ETHZ Vault|CMP-00119-1|TDK Corporation|Unsupported client version. New PartCatalog supported starting from version 17.0||||||||||||3||||||0|||0|||0.00||
74|TCR2EE12,LM(CT|IC REG LDO 1.2V 0.2A ESV|U402|TI-DRL5_L|CMP-00117-2|1||TCR2EE12,LM(CT|TCR2EE12LM(CTTR-ND|ETHZ Vault|CMP-00117-2|Toshiba Semiconductor and Storage|Unsupported client version. New PartCatalog supported starting from version 17.0||||||||||||1||||||0|||0|||0.00||
75|TPS7A4901DRBR|LDO Voltage Regulators Vin 3V to 36V, 150mA, Ultra-Low Noise, High PSRR, Low-Dropout Linear Regulator 8-SON|U404|DRB8-1750X1500TP|CMP-00110-1|1||TPS7A4901DRBR|296-42154-1-ND|ETHZ Vault|CMP-00110-1|Texas Instruments|Unsupported client version. New PartCatalog supported starting from version 17.0||||||||||||1||||||0|||0|||0.00||
76|TPS7A3001DRBR|LDO Voltage Regulators Vin -3V to -36V, -200mA, Ultra-Low Noise, High PSRR, Low-Dropout Linear Regulator 8-SON|U403|DRB8-1750X1500TP|CMP-00109-1|1||TPS7A3001DRBR|296-42394-2-ND|ETHZ Vault|CMP-00109-1|Texas Instruments|Unsupported client version. New PartCatalog supported starting from version 17.0||||||||||||1||||||0|||0|||0.00||
77|TPS65130RGER|Conv DC-DC Dual Inv/Step Up 2.7V to 5.5V 24-Pin VQFN EP|U401|LT-UF-24_L|CMP-00108-2|1||TPS65130RGER|296-17080-1-ND|ETHZ Vault|CMP-00108-2|Texas Instruments|Unsupported client version. New PartCatalog supported starting from version 17.0||||||||||||1||||||0|||0|||0.00||
78|CAT24C256HU4IGT3|IC EEPROM 256KBIT 400KHZ 8UDFN|U202|UDFN-MU8|CMP-00107-1|1||CAT24C256HU4IGT3|CAT24C256HU4IGT3OSTR-ND|ETHZ Vault|CMP-00107-1|ON Semiconductor|Unsupported client version. New PartCatalog supported starting from version 17.0||||||||||||1||||||0|||0|||0.00||
79|OPA4192IPW|Precision, Rail-to-Rail Input/Output, Low Offset Voltage, Low Input Bias Current Op Amp with e-trim|U500_1, U500_2|TSSOP-ST14_L|CMP-00106-1|2||OPA4192IPW|296-43691-ND|ETHZ Vault|CMP-00106-1|Texas Instruments|Unsupported client version. New PartCatalog supported starting from version 17.0||||||||||||2||||||0|||0|||0.00||
80|ADS131E08SPAGR|Analog to Digital Converters - ADC 8-Channel, 24-Bit, AFE|U100_1, U100_2|QFP50P1000X1000X120_HS-64L|CMP-00105-1|2||ADS131E08SPAGR|595-ADS131E08SPAGR|ETHZ Vault|CMP-00105-1|Texas Instruments|Unsupported client version. New PartCatalog supported starting from version 17.0||||||||||||2||||||0|||0|||0.00||
81|ADA4522-2ARMZ|SP Amp Zero Drift Amplifier Dual R-R I/O ±27.5V/55V 8-Pin MSOP|U302_1, U302_2, U303_1, U303_2, U400|ADI-RM-8_L|CMP-00103-1|5|ADA4522-2ARMZ||ADA4522-2ARMZ-ND|ETHZ Vault|CMP-00103-1|Analog Devices Inc.|Unsupported client version. New PartCatalog supported starting from version 17.0||||||||||||5||||||0|||0|||0.00||
82|046702.5NR|Fuse Chip Very Fast Acting 2.5A 32V SMD Solder Pad 0603|F300_1, F300_2|RESC0603(1608)_L|CMP-00099-1|2||046702.5NR|F1398TR-ND|ETHZ Vault|CMP-00099-1|Littelfuse Inc.|Unsupported client version. New PartCatalog supported starting from version 17.0||||||||||||2||||||0|||0|||0.00||
83|WSK1206R0500FEA|RES SMD 0.05 OHM 1% 1/4W 1206|R300_1, R300_2|WSK1206|CMP-00094-1|2|WSK1206R0500FEA||541-2707-1-ND|ETHZ Vault|CMP-00094-1|Vishay Dale|Unsupported client version. New PartCatalog supported starting from version 17.0||||||||||||2||||||0|||0|||0.00||
84|RB496EATR|DIODE ARRAY SCHOTTKY 20V TSMD5|D300_1, D300_2|Z5+1_L|CMP-00093-1|2||RB496EATR|RB496EADKR-ND|ETHZ Vault|CMP-00093-1|Rohm Semiconductor|Unsupported client version. New PartCatalog supported starting from version 17.0||||||||||||2||||||0|||0|||0.00||
85|TLV1702AIDGK|Analog Comparators Dual 2.2V to 36V microPwr Comparator|U305_1, U305_2|ADI-RM-8_L|CMP-00089-1|2||TLV1702AIDGK|595-TLV1702AIDGK|ETHZ Vault|CMP-00089-1|Texas Instruments|Unsupported client version. New PartCatalog supported starting from version 17.0||||||||||||2||||||0|||0|||0.00||
86|AD8421BRZ|Instrumentation Amplifier 3nV/Hz Low Power|U301_1, U301_2|M08A_L|CMP-00086-1|2||AD8421BRZ|584-AD8421BRZ|ETHZ Vault|CMP-00086-1|Analog Devices Inc.|Unsupported client version. New PartCatalog supported starting from version 17.0||||||||||||2||||||0|||0|||0.00||
87|LMC6772AIMM/NOPB|Dual Micro-Power Rail-to-Rail Input CMOS Comparator with Open Drain Output, 8-pin Mini SOIC, Pb-Free|U600_1, U600_2, U600_3|DGK0008A_L|CMP-0055-01401-3|3||||Altium Content Vault|CMP-0055-01401-3|Texas Instruments|National Semiconductor|National Semiconductor|National Semiconductor|LMC6772AIMM/NOPB|LMC6772AIMM/NOPB|LMC6772AIMM/NOPB|Newark|Newark|Mouser||||3|3|3|28X4270|41K2702||0|991|0||4.56|0||1.52|0.00
