Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|Field=Manufacturer Part Number~String~Manufacturer Part Number~100|Field=P/N~String~P/N~100|Field=Supplier Part Number~String~Supplier Part Number~100|Field=Library Name~String~Library Name~100|Field=Library Reference~String~Library Reference~100|Field=Manufacturer~String~Manufacturer~100|Field=Manufacturer 1~String~Manufacturer 1~100|Field=Manufacturer 2~String~Manufacturer 2~100|Field=Manufacturer 3~String~Manufacturer 3~100|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~100|Field=Manufacturer Part Number 2~String~Manufacturer Part Number 2~100|Field=Manufacturer Part Number 3~String~Manufacturer Part Number 3~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier 2~String~Supplier 2~100|Field=Supplier 3~String~Supplier 3~100|Field=Supplier Currency 1~String~Supplier Currency 1~100|Field=Supplier Currency 2~String~Supplier Currency 2~100|Field=Supplier Currency 3~String~Supplier Currency 3~100|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~100|Field=Supplier Order Qty 2~Integer~Supplier Order Qty 2~100|Field=Supplier Order Qty 3~Integer~Supplier Order Qty 3~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|Field=Supplier Part Number 2~String~Supplier Part Number 2~100|Field=Supplier Part Number 3~String~Supplier Part Number 3~100|Field=Supplier Stock 1~Integer~Supplier Stock 1~100|Field=Supplier Stock 2~Integer~Supplier Stock 2~100|Field=Supplier Stock 3~Integer~Supplier Stock 3~100|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~100|Field=Supplier Subtotal 2~Float~Supplier Subtotal 2~100|Field=Supplier Subtotal 3~Float~Supplier Subtotal 3~100|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~100|Field=Supplier Unit Price 2~Float~Supplier Unit Price 2~100|Field=Supplier Unit Price 3~Float~Supplier Unit Price 3~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Cape.PrjPcb|ReportField=ProjectFullPath~C:\Users\user\Documents\RocketLogger\rocketlogger\hardware\pcb\Cape\Cape.PrjPcb|ReportField=Title~Bill of Materials For Project [Cape.PrjPcb] (PCB Document : PCB.PcbDoc)|ReportField=TotalQuantity~371|ReportField=ReportTime~17:03:20|ReportField=ReportDate~08.05.2017|ReportField=ReportDateTime~08.05.2017 17:03:20|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=ProjectName~RocketLogger|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~08.05.2017|ReportField=CurrentTime~16:51:11|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\user\Documents\RocketLogger\rocketlogger\hardware\pcb\Cape\top.SchDoc|ReportField=DocumentName~top.SchDoc|ReportField=DocumentNumber~1|ReportField=DrawnBy~Stefan Lippuner|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~18.04.2017|ReportField=Organization~TIK|ReportField=Revision~2|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~8|ReportField=Time~|ReportField=Title~Top|ReportField=VersionControl_RevNumber~|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=True:CenterVertical=True:PrintScale=1.00:XCorrection=1.00:YCorrection=1.00:PrintKind=1:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=2:PaperLength=1000:PaperWidth=1000:Scale=100:PaperSource=7:PrintQuality=-3:MediaType=1:DitherType=10:PrintScaleMode=1:PaperKind=A3:PaperIndex=8|ReportField=DataSourceFileName~Cape.PrjPcb|ReportField=DataSourceFullPath~C:\Users\user\Documents\RocketLogger\rocketlogger\hardware\pcb\Cape\Cape.PrjPcb|ReportField=PCBDataSourceFileName~PCB.PcbDoc|ReportField=PCBDataSourceFullPath~C:\Users\user\Documents\RocketLogger\rocketlogger\hardware\pcb\Cape\PCB.PcbDoc
12|47uF|CAP 47uF 16V ±20% 1210 (3225 Metric) Thickness 2.8mm SMD|C404, C414, C415|CAPC1210(3225)280_L|CMP-1038-02296-1|3||||Altium Content Vault|CMP-1038-02296-1||KEMET|KEMET|KEMET|C1210C476M4PACTU|C1210C476M4PACTU|C1210C476M4PAC|Newark|Newark|Mouser||||3|3|3|60M1034|94M5703||9000|2186|0||3.84|0||1.28|0.00
13|22uF|CAP 22uF 6.3V ±10% 0805 (2012 Metric) Thickness 1.45mm SMD|C128_1, C128_2|CAPC0805(2012)145_L|CMP-1036-04938-1|2||||Altium Content Vault|CMP-1036-04938-1||Yageo|Yageo|KEMET|C2012X5R0J226K/1.25|C2012X6S0J226K|C0805C226K9PACTU|Newark|Newark|Mouser||||2|2|2|87R3911|87R3977||0|0|0||0|0||0.00|0.00
14|10uF|CAP 10uF 10V ±20% 0603 (1608 Metric) Thickness 1mm SMD|C123_1, C123_2, C308_1, C308_2, C309_1, C309_2, C317_1, C317_2, C318_1, C318_2, C319_1, C319_2, C402, C406, C417, C418, C419, C420, C421, C422, C426, C428, C431, C432, C433, C434, C437|CAPC0603(1608)100_L|CMP-1035-02800-1|27||||Altium Content Vault|CMP-1035-02800-1||Yageo|Yageo|Yageo|C1608X5R1A106M|C1608X5R1A106M|C1608X5R1A106M|Newark|Newark|Mouser||||27|27|27|48T2910|87R3602|810-C1608X5R1A106M|0|0|154780|5.4||19.98|0.20||0.74
15|1uF|CAP 1uF 16V ±20% 0402 (1005 Metric) Thickness 0.6mm SMD|C100_1, C100_2, C101_1, C101_2, C102_1, C102_2, C103_1, C103_2, C104_1, C104_2, C105_1, C105_2, C106_1, C106_2, C107_1, C107_2, C124_1, C124_2, C125_1, C125_2, C127_1, C127_2, C409|CAPC0402(1005)60_L|CMP-1034-02120-1|23||||Altium Content Vault|CMP-1034-02120-1||Yageo|Yageo|Yageo|C1005X5R1C105M|C1005X5R1C105M|C1005X5R1C105M|Newark|Newark|Mouser||||23|23|23|87R3280|90R7591|810-C1005X5R1C105M|0|0|7224||0.69|1.84||0.03|0.08
16|220nF|CAP 220nF 10V -20% to +80% 0402 (1005 Metric) Thickness 0.6mm SMD|C408|CAPC0402(1005)60_L|CMP-1034-02088-1|1||||Altium Content Vault|CMP-1034-02088-1||Yageo|Yageo|Yageo|CC0402ZRY5V6BB224|CC0402ZRY5V6BB224|C1005Y5V1A224Z|Newark|Newark|Newark||||1|1|1|65R7759|68R4686|87R3416|0|24837|0||0.01|0||0.01|0.00
17|100nF|CAP 100nF 16V -20% to +80% 0402 (1005 Metric) Thickness 0.6mm SMD|C122_1, C122_2, C126_1, C126_2, C200, C201, C300_1, C300_2, C301_1, C301_2, C302_1, C302_2, C303_1, C303_2, C304_1, C304_2, C305_1, C305_2, C306_1, C306_2, C307_1, C307_2, C315_1, C315_2, C316_1, C316_2, C320_1, C320_2, C322_1, C322_2, C400, C401, C403, C405, C407, C416, C425, C427, C500_1, C500_2, C501_1, C501_2, C600_1, C600_2, C600_3, C700, C701|CAPC0402(1005)60_L|CMP-1034-02071-1|47||||Altium Content Vault|CMP-1034-02071-1||Vishay|AVX|Yageo|VJ0402V104ZXJCW1BC|0402YG104ZAT2A|CC0402ZRY5V7BB104|Newark|Newark|Newark||||47|47|47|16J0455|34M9175|50M6517|0|9580|0||2.35|||0.05|
18|10nF|CAP 10nF 25V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD|C323_1, C323_2, C325_1, C325_2, C410, C423, C424, C429, C430|CAPC0402(1005)60_L|CMP-1034-01879-1|9||||Altium Content Vault|CMP-1034-01879-1||KEMET|AVX|Vishay|C0402C103J3RACTU|04023C103JAT2A|VJ0402Y103JXXAC|Newark|Newark|Newark||||9|9|9|07J4433|45J0031|46C3149|280000|0|0||||||
19|4.7nF|CAP 4.7nF 50V ±20% 0402 (1005 Metric) Thickness 0.6mm SMD|C411|CAPC0402(1005)60_L|CMP-1034-01817-1|1||||Altium Content Vault|CMP-1034-01817-1||Vishay|KEMET|AVX|VJ0402Y472MXAAC|C0402C472M5RACTU|04025C472MAT4A||Newark|Newark||||1|1|1||18M8574|21T8322|0|0|0|0|||0.00||
20|2.2nF|CAP 2.2nF 50V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD|C310_1, C310_2|CAPC0402(1005)60_L|CMP-1034-01741-1|2||||Altium Content Vault|CMP-1034-01741-1||KEMET|AVX|Vishay|C0402C222J5RACTU|04025C222JAT2A|VJ0402Y222JXAAC|Newark|Newark|Newark||||2|2|2|07X0701|13J3695|46C3339|0|9660|0||0.32|0||0.16|0.00
21|1nF|CAP 1nF 50V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD|C108_1, C108_2, C109_1, C109_2, C110_1, C110_2, C111_1, C111_2, C113_1, C113_2, C114_1, C114_2, C115_1, C115_2, C116_1, C116_2, C117_1, C117_2, C118_1, C118_2, C120_1, C120_2, C121_1, C121_2, C321_1, C321_2, C324_1, C324_2|CAPC0402(1005)60_L|CMP-1034-01626-1|28||||Altium Content Vault|CMP-1034-01626-1||KEMET|Murata|Vishay|C0402C102J5RACTU|GRM1555C1H102JA01D|VJ0402Y102JXAAC|Newark|Newark|Newark||||28|28|28|07X0679|38K1651|46C3123|0|8164|0||0.84|||0.03|
22|470pF|CAP 470pF 50V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD|C311_1, C311_2|CAPC0402(1005)60_L|CMP-1034-01500-1|2||||Altium Content Vault|CMP-1034-01500-1||KEMET|AVX|AVX|C0402C471J5RACTU|04025A471JAT2A|04025A471JAT2A|Newark|Newark|Newark||||2|2|2|07X0719|09R7139|15P4047|0|90000|7464|||0.06|||0.03
23|120pF|CAP 120pF 50V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD|C412|CAPC0402(1005)60_L|CMP-1034-01275-1|1||||Altium Content Vault|CMP-1034-01275-1||Vishay|KEMET|Vishay|VJ0402Y121JXAAC|C0402C121J5GACTU|VJ0402A121JXAAC||Newark|Newark||||1|1|1||01N5588|46C2465|0|3209|0|0|||0.00||
24|56pF|CAP 56pF 50V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD|C413|CAPC0402(1005)60_L|CMP-1034-01132-1|1||||Altium Content Vault|CMP-1034-01132-1||KEMET|KEMET|Murata|C0402C560J5GACTU|C0402C560J5GACTU|GRM1555C1H560JA01D|Newark|Newark|Newark||||1|1|1|01J3929|03C3056|14T3298|0|8086|2600||0.1|||0.10|
25|10pF|CAP 10pF 50V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD|C313_1, C313_2, C314_1, C314_2|CAPC0402(1005)60_L|CMP-1034-00724-1|4||||Altium Content Vault|CMP-1034-00724-1||KEMET|KEMET|AVX|C0402C100J5GACTU|C0402C100J5GACTU|04025A100JAT2A|Newark|Newark|Newark||||4|4|4|03C3037|07J4430|30H0464|2596|60000|80000|0.48|||0.12||
26|205K|205K 0.063W 1% 0402 (1005 Metric)  SMD|R601_1, R601_2, R601_3, R603_1, R603_2, R603_3|RESC0402(1005)_L|CMP-1011-00769-1|6||||Altium Content Vault|CMP-1011-00769-1||Vishay|Vishay|Vishay|CRCW0402205KFKTD|CRCW0402205KFKED|CRCW0402205KFKED|Newark|Newark|Newark||||6|6|6|07J7643|24W2089|26W9032|0|0|16800||||||
27|115K|115K 0.063W 1% 0402 (1005 Metric)  SMD|R403, R405|RESC0402(1005)_L|CMP-1011-00742-1|2||||Altium Content Vault|CMP-1011-00742-1||Vishay|Vishay|Panasonic|CRCW0402115KFKED|CRCW0402115KFKED|ERJ-2RKF1153X|Newark|Newark|Newark||||2|2|2|24W1943|26W8982|51W8898|20000|17200|0||||||
28|102K|102K 0.063W 1% 0402 (1005 Metric)  SMD|R413|RESC0402(1005)_L|CMP-1011-00737-1|1||||Altium Content Vault|CMP-1011-00737-1||Vishay|Vishay|Vishay|CRCW0402102KFKTD|CRCW0402102KFKED|CRCW0402102KFKED|Newark|Newark|Newark||||1|1|1|07J7504|24W1925|26W8976|0|0|18300||||||
29|100K|100K 0.063W 1% 0402 (1005 Metric)  SMD|R203, R204, R209, R315_1, R315_2, R316_1, R316_2, R320_1, R320_2, R600_1, R600_2, R600_3, R602_1, R602_2, R602_3, R700, R701, R704, R705|RESC0402(1005)_L|CMP-1011-00736-1|19||||Altium Content Vault|CMP-1011-00736-1||Vishay|Vishay|Vishay|CRCW0402100KFKTD|CRCW0402100KFKTD|CRCW0402100KFKED|Newark|Newark|Newark||||19|19|19|07J7499|17C7242|24W1923|0|0|0||||||
30|60K4|60K4 0.063W 1% 0402 (1005 Metric)  SMD|R312_1, R312_2|RESC0402(1005)_L|CMP-1011-00711-1|2||||Altium Content Vault|CMP-1011-00711-1||Vishay|Vishay|Vishay|CRCW040260K4FKTD|CRCW040260K4FKED|CRCW040260K4FKTD|Newark|Newark|Newark||||2|2|2|07J7869|27W4008|36C8991|0|2059|0|0|0.02||0.00|0.01|
31|51K1|51K1 0.063W 1% 0402 (1005 Metric)  SMD|R309_1, R309_2|RESC0402(1005)_L|CMP-1011-00704-1|2||||Altium Content Vault|CMP-1011-00704-1||Vishay|Vishay|Vishay|CRCW040251K1FKTD|CRCW040251K1FKED|CRCW040251K1FKED|Newark|Newark|Newark||||2|2|2|07J7834|24W2350|27W3992|0|0|0||0|0.02||0.00|0.01
32|41K2|41K2 0.063W 1% 0402 (1005 Metric)  SMD|R412|RESC0402(1005)_L|CMP-1011-00692-1|1||||Altium Content Vault|CMP-1011-00692-1||Vishay|Vishay|Vishay|CRCW040241K2FKTD|CRCW040241K2FKED|CRCW040241K2FKED|Newark|Newark|Newark||||1|1|1|07J7788|24W2287|42K3491|0|0|10000||||||
